sample_id,latent_file,video_file,video_rel_path,prompt
00409,00409.pt,00409.mp4,./00409.mp4,"Style: warm documentary, In a cramped apartment kitchen at twilight, a young man is leaning against a crowded counter while an older woman is standing near the sink with a dish towel gathered in both hands, the camera is observing them in an over-the-shoulder medium shot with a 35mm lens as cool window light is meeting a single warm ceiling fixture. He is turning a spoon between his fingers, the faint clink against a mug blending with the refrigerator hum, and he is speaking in a quiet, unsteady voice, ""You called him?"" She is pausing before folding the towel once, her eyes dropping to the sink as water is ticking in the pipes, then she is lifting her chin and replying in a soft, even voice, ""This morning."" Meanwhile he is shifting his weight and looking past her toward the dark window, while she is setting the towel down carefully and keeping one hand on the edge of the counter."
00434,00434.pt,00434.mp4,./00434.mp4,"Style: cinematic-realistic, In a worn apartment kitchen, a woman is leaning against a chipped counter while a man is standing near the sink, the camera is holding them in a medium two-shot with a 35mm lens under soft overhead light. She is rubbing her thumb along a cracked mug as the low hum of an old refrigerator is filling the room, then she is speaking in a low, careful voice, ""You came back."" He is shifting his weight and glancing toward the dark hallway, answering in a rough, quiet voice, ""Just briefly."" A pipe is ticking inside the wall while he is folding his arms and she is lifting her chin slightly, watching his face. Meanwhile, the faint rattle of a window frame is mixing with their pause as she is stepping half a pace closer, her shoulders squared, and he is lowering his gaze to the floor before looking up again."
00488,00488.pt,00488.mp4,./00488.mp4,"Style: nature documentary, A great blue heron is standing at the edge of a still marsh in mid-morning, its pale feathers are lifting slightly in a light breeze while reeds are swaying behind it. The camera is holding a patient medium close-up with a 400mm telephoto lens, the background is falling soft and flat as faint insects are buzzing over the water and small ripples are tapping the mud. The heron is lowering its neck in a slow curve, then is freezing, one foot is easing forward while a distant frog is calling from deeper in the grass. As the water surface trembles, the bird is striking with a quick jab, lifting its head with a small fish crosswise in its bill, droplets are falling back with quiet plinks while it is tilting the catch and swallowing."
00520,00520.pt,00520.mp4,./00520.mp4,"Style: cinematic-realistic, A silver wristwatch is resting on dark stone as soft side light is sliding across the brushed metal case and the curved crystal, revealing fine dust, tiny machining marks, and a clean leather grain on the strap. The camera is holding a tight product close-up with a 200mm telephoto lens, then slowly pulling back as the polished bezel is catching narrow reflections and the second hand is ticking in small precise steps. A faint room tone is lingering under the gentle tick, while a hand is entering carefully to tilt the watch a few degrees, letting the clasp glint and the stitched strap flex slightly. Meanwhile the stone surface is showing a matte texture in soft focus, and the pull-back is revealing a minimal tray and folded cloth behind it without distracting from the watch."
01424,01424.pt,01424.mp4,./01424.mp4,"Style: cinematic-realistic, Harsh midday sun is falling across a dense downtown intersection lined with stone facades and glass towers, their windows are throwing sharp reflections onto the crosswalk. A 35mm wide shot is holding at street level as office workers are weaving between delivery cyclists and a bus is easing past the curb, its brakes sighing under the steady hum of engines and distant horns. Traffic lights are changing while a row of cars is inching forward, heat is wavering above the asphalt, and small shadows are sliding under newspaper boxes and bike racks. Meanwhile a street vendor is adjusting a metal cart beneath a plain awning as footsteps are scattering over the pavement and a siren is passing somewhere deeper in the grid. The camera is keeping the building lines upright, emphasizing the vertical rhythm of the block while mirrored lobby doors are catching brief flashes of pedestrians and turning wheels."
01535,01535.pt,01535.mp4,./01535.mp4,"Style: cinematic-realistic, A broad mountain valley is filling with a fast-moving storm as a cold river is rushing over pale stones and splitting around small gravel bars. The camera is framing a wide shot with a 24mm lens from the riverbank, the view carrying a slight handheld sway while dark clouds are sliding over the ridgeline and broken sunlight is moving across wet grass in uneven patches. Wind is sweeping down the valley, pressing through pine trees as their branches are bowing and giving off a low, continuous hiss. Then light rain is beginning to pepper the river surface, the soft patter blending with the deeper roar of the current as runoff is streaming down the bank in thin threads. In the distance, mist is gathering around the lower slopes while the camera is slowly panning upstream, revealing snow-streaked peaks fading in and out behind the weather."
01679,01679.pt,01679.mp4,./01679.mp4,"Style: cinematic-realistic, Low storm clouds are dragging across a mountain valley as cold rain is sweeping over a fast river, the surface is buckling around dark stones and pale foam is streaming downstream. The camera is holding in a wide shot with a 24mm lens from a rocky overlook, capturing the river bend, steep pine slopes, and a distant ridge that is fading in and out behind sheets of rain. Wind is bending the treetops in uneven waves while loose branches are shivering and the river is roaring steadily below. As the cloud cover is thinning for a moment, a band of late light is sliding across the wet hillside, then the light is dimming again while thunder is rolling behind the peaks and mist is lifting from the water in slow bands."
01824,01824.pt,01824.mp4,./01824.mp4,"Style: warm documentary, A man in running clothes is jogging along a quiet riverside path on a sunny morning, his shoulders are rising and falling evenly while his shoes are landing with soft, quick thuds on the pavement. The camera is tracking beside him in a steady medium shot with a 35mm lens, then tilting up slightly as he is passing under tall trees and the pale sky is opening above him. His full stride is staying relaxed, his jaw is loose, and a light breeze is moving his shirt while distant bicycle wheels are whispering past on the far side of the path. He is slowing near a wooden bench, rolling one shoulder back, then bending to retie a lace as birds are calling from the waterline. Meanwhile, he is standing again, taking a deeper breath, and pushing back into motion with a small forward lean."
02286,02286.pt,02286.mp4,./02286.mp4,"Style: cinematic-realistic, A small tart is resting on a dark ceramic plate as candlelight is flickering across the glossy fruit glaze and the crisp ridges of the pastry shell. The camera is beginning in an intimate close-up on the surface, 100mm macro lens at f/3.2, where tiny beads of syrup are catching soft highlights, then is slowly pulling back to reveal scattered crumbs, a folded linen napkin, and a silver fork in soft focus. A faint crackle from the candles is mixing with the quiet clink of the fork as a hand is entering carefully, the fingertips are steadying the plate, and the fork is pressing through the crust with a gentle snap. Meanwhile, the custard is yielding smoothly, its surface holding a slight sheen under the warm side light, while the table grain is becoming clearer in the background."
03257,03257.pt,03257.mp4,./03257.mp4,"Style: sleek studio product, A silver wristwatch is resting on folded black fabric as cool evening light and a narrow neon rim light are tracing the polished case, the brushed metal links showing fine grain and the crystal catching a clean reflection. The camera is beginning in an extreme close-up on the crown with a 90mm macro lens at f/3.5, then is pushing in slightly as the faint tick of the movement is sitting under the soft rustle of fabric. Meanwhile the focus is shifting across the watch face, the hands are glinting, the minute markers are appearing crisp, and a fingertip is nudging the bracelet so it is settling with a quiet, precise clink. The shot is then easing into a slow pull-back, revealing the full watch centered on the textured cloth while the neon edge light is outlining the curved lugs and the smooth crystal."
03582,03582.pt,03582.mp4,./03582.mp4,"Style: warm documentary, A woman in a dark T-shirt and work pants is repotting herbs on a small apartment balcony near noon, her full body framed against a plain city backdrop. Shot on a 50mm lens, the camera is tracking slowly sideways in a steady medium shot as she is kneeling by a table, tipping a clay pot and tapping its base with her palm. Dry soil is pattering onto the surface while distant traffic is humming below. She is loosening the roots with careful fingers, then is lowering the plant into a wider pot, shoulders leaning in and lips pressed together in concentration. As she is scooping fresh soil around the stem, a metal trowel is scraping lightly against the rim. Meanwhile she is rising to water the plant from a small can, the thin stream is trickling into the dirt, and she is brushing stray soil from her knees before stepping back to check the leaves."
03611,03611.pt,03611.mp4,./03611.mp4,"Style: cinematic-realistic, A man and a woman are standing near a conference room window at noon, dim ambient light from the hall is mixing with soft daylight on their faces. The camera is holding a medium two-shot at eye level, 50mm lens, with the blurred edge of a table in the foreground. Air conditioning is humming softly as the woman in a gray sweater is folding her arms, then loosening them while speaking in a low, steady voice, ""We need clarity."" The man beside her, wearing a blue shirt with rolled sleeves, is glancing toward the door, then back to her, one hand resting on his hip as papers rustle lightly under his other arm. He is answering in a quiet, careful voice, ""I know,"" while she is giving a small nod and shifting her weight closer to him."
03657,03657.pt,03657.mp4,./03657.mp4,"Style: warm intimate with a restrained blockbuster film look, A middle-aged man is sitting alone at a kitchen table at twilight, shown in a medium close-up on a 50mm lens at f/2.0, the camera holding steady with shallow focus on his face. Cool evening light is entering through a nearby window while a soft overhead bulb is warming his skin and catching the slight lines around his eyes. He is turning a ceramic mug slowly between both hands as the faint hum of a refrigerator is filling the room and a spoon is giving a light tap against the cup. Then he is glancing toward the empty chair across from him, his nostrils are flaring once, and one corner of his mouth is tightening before easing. While the hum continues, he is drawing a small breath, lowering his eyes to the table, and his fingers are stopping their movement on the mug handle."
03811,03811.pt,03811.mp4,./03811.mp4,"Style: cinematic-realistic, Long swells are rolling into a steep rocky shoreline at dawn, and each wave is breaking hard against black cliffs, sending white spray into the cool air. The camera is holding in a wide shot with a 24mm lens from a high bluff, capturing the scale of the coast as foam is streaming through narrow inlets below. Wind is pushing low mist inland while gulls are circling and crying over the surf. As the first warm light is spreading across the water, wet stone is catching a soft gold sheen, then darker clouds are drifting across the horizon and muting the glow. Meanwhile, the tide is surging back and forth in steady pulses, the deep crash of water blending with the hiss of retreating foam and the constant rush of wind along the cliff face."
04012,04012.pt,04012.mp4,./04012.mp4,"Style: cinematic-realistic, A street food cook in a light apron is working at an open stall on a humid evening, a faint rim light is outlining his face and shoulders as warm overhead bulbs are glowing above him. Shot on a 50mm lens, the camera is holding a steady medium tracking shot as he is stepping sideways along the counter, lifting a pan, then tipping chopped vegetables onto the hot surface while a quick hiss is rising into the damp air. He is stirring with short practiced motions, his jaw set and eyes fixed on the food, while metal utensils are clinking softly against the pan. As steam is drifting past his cheek, he is reaching for a bowl, folding noodles through the sauce, then sliding the finished portion onto a plate with a muted scrape, his free hand wiping the rim before he is turning toward the customer side."
04506,04506.pt,04506.mp4,./04506.mp4,"Style: film noir with high contrast, A young woman with tied-back hair and a plain black coat is standing near a dim hallway wall in a close-up, the camera is framing her just below the shoulders with a 100mm macro lens, and shallow focus is isolating the fine movement around her eyes. A ceiling fixture is casting narrow shadow lines across her face while a radiator is ticking softly nearby. She is adjusting a loose strand of hair behind her ear, then her hand is pausing at her neck as footsteps are passing faintly in another room. Her eyes are shifting toward the sound, a slight crease is forming between her brows, and she is wetting her lower lip before speaking in a low, steady voice, ""You can come in now,"" while the latch is giving a small metal click and her chin is lifting a fraction."
06873,06873.pt,06873.mp4,./06873.mp4,"Style: cinematic-realistic, In a quiet apartment kitchen at evening, a man and a woman are standing beside a small counter under soft overhead light, half-finished plates between them. The camera is framing them in a medium two-shot at eye level, anamorphic widescreen, 50mm lens with a gentle shallow focus holding the cabinets and sink slightly soft behind them. The low hum of the refrigerator is mixing with the faint rattle of dishes as the woman is drying her hands on a towel, then resting one palm on the counter and speaking in a low, steady voice, ""Stay tonight."" The man is shifting his weight, his eyes dropping to the plate, then lifting back to her as he is rubbing his thumb along the edge of a glass. A car is passing outside with a soft wash of tire noise while he is giving a small nod and answering in a quiet voice, ""Okay."""
06912,06912.pt,06912.mp4,./06912.mp4,"Style: cinematic-realistic, A man in a gray hooded sweatshirt and dark running tights is jogging along a quiet riverside path in moonlight, his breath showing faintly as his arms are swinging in an easy rhythm. The camera is tracking beside him in a steady medium shot with an 85mm lens, keeping his full stride and calm face in frame while his shoes are tapping softly on the pavement and distant water is lapping against the bank. He is slowing near a low railing, bending to retie one lace as fabric is brushing at his knees and a bicycle is passing behind him with a brief whir. Then he is straightening, rolling his shoulders, and setting off again while the path curves ahead through thin trees. His pace is building gradually, his jaw is loosening, and the camera is holding close as his footfalls and measured breathing are blending with the muted night air."
07359,07359.pt,07359.mp4,./07359.mp4,"Style: cinematic-realistic, A man in a plain grey T-shirt and black shorts is running along a riverside path in late afternoon, his face slightly flushed and his arms swinging in a compact rhythm as sweat is darkening the fabric at his chest. Shot on an 85mm lens, the camera is tracking beside him in a steady medium shot, keeping his full stride in frame. His shoes are thudding softly on packed gravel while his breathing is growing louder, and a bicycle is passing somewhere behind with a quick whir. He is glancing ahead, then adjusting his pace as the path bends, shoulders rolling smoothly while one hand is briefly wiping across his brow. The river is moving beside him with a low wash, and as he is slowing near a wooden bench, gravel is crunching under shorter steps before he is bending forward with hands on his thighs, drawing in air through parted lips."
08279,08279.pt,08279.mp4,./08279.mp4,"Style: cinematic-realistic, In a steady tracking shot with a 50mm lens, a woman in work clothes is moving down a narrow garden path in natural sunlight, a straw hat shading her face as she is carrying a metal watering can against her hip. Dry leaves are crunching under her boots while distant birds are calling from nearby trees. She is kneeling beside a row of tomato plants, setting the can down with a light clink, then loosening the soil with a small hand fork as insects are buzzing softly around the beds. She is tilting the can and watering each plant in turn, the thin stream pattering into the earth while her sleeve is brushing the stems. Meanwhile a faint breeze is stirring her hair and the broad leaves are shifting in the soft light as she is standing, stretching her back slightly, and continuing along the row."
08928,08928.pt,08928.mp4,./08928.mp4,"Style: cinematic-realistic, A middle-aged man is sitting in the front seat of a parked car just after dawn, warm early light and a thin rim light are outlining his temple and jaw. Shot on a 50mm lens at f/2.0 in a medium close-up, the camera is remaining steady, isolating his face against a soft blur of the windshield and empty street. He is looking into the rearview mirror while the low hum of the engine is idling beneath the faint rattle of air from the vent. His fingers are adjusting the collar of his shirt, then they are pausing at his throat as he is swallowing and shifting his eyes away from his reflection. Meanwhile a turn signal from a distant car is clicking somewhere outside, and he is drawing a slow breath, the skin around his eyes is tightening slightly before his shoulders are easing and his hand is dropping to his lap."
08935,08935.pt,08935.mp4,./08935.mp4,"Style: cinematic-realistic, A fluorescent-lit subway platform is stretching beneath low concrete beams as commuters are standing in loose rows near the yellow edge, their coats shifting in the draft. The camera is holding a medium-wide shot on a 35mm lens, framing tiled columns, track reflections, and the curve of the tunnel as a train is approaching with a rising metal rumble. A station chime is sounding softly while a woman is adjusting her bag and a man is glancing up at the route map above the platform. As the headlights are washing across the tiles, the silver cars are sliding in and the doors are opening with a sharp hiss. People are stepping out, then others are moving forward in a steady exchange, their shoes tapping the platform while the fluorescent light is reflecting in the train windows and along the damp black rail bed."
09195,09195.pt,09195.mp4,./09195.mp4,"Style: neo-noir thriller, A man is sitting in the back seat of a parked car at night in a tight medium shot on a 50mm lens, rain is threading down the side window and blurred streetlights are smearing into soft red and yellow shapes outside. The faint ticking of the hazard light is mixing with the low idle of the engine as he is turning a small key over in his palm. Across the street, a woman is stepping out of a narrow doorway under a single warm light, and the camera is shifting to an over-the-shoulder view as she is pausing to scan the empty sidewalk. A siren is passing far away while he is leaning forward, his sleeve brushing the seat, then he is cracking the window just enough to speak in a dry, restrained voice, ""Leave it on the bench."" She is crossing slowly toward a wet wooden bench, her heels clicking softly, while his hand is tightening around the key in the dark."
09674,09674.pt,09674.mp4,./09674.mp4,"Style: cyberpunk neon with desaturated shadows and anamorphic bloom, A woman with a shaved haircut is waiting beside a narrow canal on an elevated walkway, her translucent coat is stirring in the damp night air as blue and pink signs are reflecting across the water. The camera is circling her in a restrained orbit, medium shot on a 200mm telephoto lens, compressing the stacked towers behind her while a cool rim light is outlining her jaw and hands. She is lifting a small earpiece, listening as electric hums are blending with the soft rattle of an overhead train, then she is leaning on the rail and looking down at the rippling reflections while a street vendor nearby is clattering metal tools in the distance. Meanwhile a light drizzle is ticking against the walkway, and she is exhaling slowly as the neon glow is smearing across the wet surface around her."
09863,09863.pt,09863.mp4,./09863.mp4,"Style: cinematic-realistic, A mechanical wristwatch is resting on a dark stone surface as warm golden-hour light is sliding across the brushed metal case and catching the slight curve of the crystal. The camera is beginning in an extreme close-up on the ticking second hand, 100mm macro lens at f/3.2, then slowly orbiting to reveal the fine knurling on the crown and the leather strap grain while the faint click of the movement is blending with a low room tone. As the orbit is continuing, soft reflections are moving across the polished bezel, and a hand is entering carefully to lift the watch a few centimeters, the strap flexing with a muted creak. Meanwhile the shallow focus is keeping the background in a gentle blur, and the camera is pulling back slightly to reveal a folded cloth and a small metal tool beside the watch."
10476,10476.pt,10476.mp4,./10476.mp4,"Style: cinematic-realistic, In a quiet hotel lounge with polished stone walls and soft neon accents, a woman in a cream blazer is sitting at the edge of a velvet sofa while a man opposite her is leaning forward slightly, the camera is holding them in a medium close-up on an 85mm portrait lens as low music is drifting under the soft clink of glassware from the bar behind them. She is smoothing a crease in her sleeve, then lifting her eyes to meet his, speaking in a calm, low voice, ""You called late."" He is rubbing his thumb along the rim of his glass while the ice is shifting with a faint click, then he is answering in a careful tone, ""I know."" She is exhaling through her nose and tilting her head a little, while he is giving a small nod and loosening his shoulders."
10647,10647.pt,10647.mp4,./10647.mp4,"Style: cinematic-realistic, In a gentle orbiting medium shot with a 35mm lens, a woman in a faded blue shirt and work pants is kneeling in a small backyard garden in mid-morning, her face partly shaded by a wide straw hat as she is loosening soil with a hand trowel. Dry dirt is crumbling softly while birds are calling from nearby trees and a light breeze is stirring the leaves behind her. She is leaning forward, setting a young tomato plant into the hole, then pressing the earth around the stem with both palms as her sleeves are gathering dust. Meanwhile she is rising to one knee, reaching for a metal watering can, and tipping it carefully so a thin stream is darkening the soil, the water pattering against the ground and the can handle giving a faint creak under the soft sun."
11087,11087.pt,11087.mp4,./11087.mp4,"Style: warm documentary, A groundskeeper is pushing a mower across a small public field at noon, his shirt is sticking slightly to his back in the humid heat while he is guiding the handle with both hands. Shot on a 50mm lens in a smooth tracking shot from the front quarter angle, the camera is moving with him as the mower is buzzing steadily and cut grass is whispering beneath the wheels. He is slowing near a flower bed, then releasing one hand to wipe his brow before he is turning the machine in a careful arc. Meanwhile, a second worker is kneeling nearby, full figure visible, and is pressing a trowel into dark soil as loose dirt is crumbling with soft scratches. She is lifting a small plant, settling it into place, then patting the ground firm while the mower is fading slightly and a few distant birds are calling over the open park."
11490,11490.pt,11490.mp4,./11490.mp4,"Style: warm documentary, A young woman with tied-back dark hair, a faded green shirt, and muddy jeans is stepping carefully along a narrow garden path at dusk, carrying a metal watering can against her hip. Shot on an extreme fisheye lens, the camera is tracking just ahead of her at waist height as the beds are curving gently around the frame. Water is sloshing softly inside the can while crickets are starting up in the background. She is bending at the knees beside a row of tomato plants, then tipping the can slowly as a steady pour is pattering into the dry soil. Her face is catching the last warm light, her brow is tightening slightly as she is brushing a leaf aside with her free hand. Meanwhile a light breeze is moving the stems, and she is shifting to the next plant, straightening, then walking on as the can is clinking softly against her leg."
11731,11731.pt,11731.mp4,./11731.mp4,"Style: cinematic-realistic, In a close-up framed on a 100mm macro lens with shallow depth of field, a man in his early 40s is sitting beside a rain-damp window under soft backlight and warm Portra-like tones. He is looking down at a ceramic cup just below frame as his thumb is rubbing slowly along the rim, and the faint clink of his nail is mixing with distant tires hissing on wet pavement outside. As he is lifting his gaze toward the glass, the light is catching the edge of his cheek and the fine lines around his eyes, while his jaw is tightening slightly and then easing. He is drawing in a measured breath, and a quiet radiator hum is filling the pause as his lips are parting, almost forming words, before he is pressing them together again. A plain curtain and muted room details are staying softly blurred behind him."
